iter	Logloss
148	0.6525360698
149	0.6523134663
150	0.6520907809
151	0.6519680447
152	0.6517256765
153	0.6515385062
154	0.6511724301
155	0.6510134024
156	0.6506797307
157	0.6503855188
158	0.6501701624
159	0.6500352328
160	0.6497917242
161	0.6496210004
162	0.6492745138
163	0.649076529
164	0.6487852099
165	0.6484781502
166	0.6482702782
167	0.6481280798
168	0.647908954
169	0.6476814467
170	0.6474303335
171	0.647218171
172	0.6470404797
173	0.6467602501
174	0.646473941
175	0.6462996105
176	0.6460917692
177	0.6459174046
178	0.6457527102
179	0.6455572539
180	0.6453718039
181	0.6451336816
182	0.645003572
183	0.6448459082
184	0.6446629651
185	0.6444941922
186	0.6444917621
187	0.6443234239
188	0.644105052
189	0.6439039812
190	0.6436736881
191	0.6434729584
192	0.6432062972
193	0.6430295796
194	0.6427525047
195	0.6425846795
196	0.6423965117
197	0.6421981078
198	0.6419820644
199	0.6417746629
200	0.6415526638
201	0.6412694302
202	0.6411137541
203	0.6409133034
204	0.640730446
205	0.6405630248
206	0.6404140217
207	0.6403087969
208	0.6401459839
209	0.6399518963
210	0.6397803989
211	0.6396099207
212	0.6395067497
213	0.6393103564
214	0.6393088713
215	0.6391550683
216	0.6390293701
217	0.6388775488
218	0.6387505451
219	0.6385542981
220	0.6384016695
221	0.6382119193
222	0.6379620439
223	0.6378179233
224	0.6376326044
225	0.6373939761
226	0.6372086955
227	0.6370426081
228	0.6368318052
229	0.6366744515
230	0.6365598385
231	0.6363721808
232	0.6362280478
233	0.6360199963
234	0.6358336637
235	0.6356668553
236	0.6354636903
237	0.6352794662
238	0.6351215396
239	0.6348660738
240	0.6346310503
241	0.634449243
242	0.6343115702
243	0.6341374686
244	0.6339595851
245	0.6337510913
246	0.6335935995
247	0.633373512
248	0.6331926866
249	0.6329677812
250	0.6327609672
251	0.6326022358
252	0.632434534
253	0.632283531
254	0.6321476384
255	0.631992189
256	0.6318455034
257	0.6316932685
258	0.631692869
259	0.6315178896
260	0.6315159576
261	0.6313914371
262	0.6311797816
263	0.6310182934
264	0.6308607823
265	0.6306124818
266	0.6304931552
267	0.6304930426
268	0.6302749931
269	0.6301630331
270	0.6300441557
271	0.6298434727
272	0.6296505747
273	0.6294596952
274	0.6293466448
275	0.6291909552
276	0.6290870629
277	0.6289599037
278	0.6287460213
279	0.6286147801
280	0.6284224007
281	0.6282426362
282	0.6280965128
283	0.6280958573
284	0.6278949303
285	0.6276464047
286	0.6276453425
287	0.6275814616
288	0.6274809523
289	0.6273077818
290	0.6271333518
291	0.6269408905
292	0.626735596
293	0.6265514285
294	0.6263959729
295	0.6263949898
296	0.6261855818
297	0.6259940731
298	0.6257967977
299	0.6256397751
300	0.6256384261
301	0.6254561285
302	0.6253039783
303	0.625164963
304	0.6250225335
305	0.6247951541
306	0.6245842795
307	0.6244222587
308	0.6244205038
309	0.6242711443
310	0.6240918924
311	0.6239458603
312	0.6237782401
313	0.6236482992
314	0.6234786349
315	0.6233115295
316	0.6231084526
317	0.6229136838
318	0.6229116835
319	0.6227787451
320	0.6226214247
321	0.6225001941
322	0.6222775166
323	0.6221230721
324	0.6219809213
325	0.6218808591
326	0.6217139604
327	0.6215759454
328	0.6212994311
329	0.621183465
330	0.6211834037
331	0.6210587929
332	0.6210587844
333	0.620904225
334	0.6207110626
335	0.6206082602
336	0.6204435785
337	0.6202319182
338	0.6200207183
339	0.6198400385
340	0.6196912485
341	0.6195500248
342	0.6194451258
343	0.6192775089
344	0.6190703224
345	0.6189719471
346	0.618769289
347	0.6185545445
348	0.6184203628
349	0.6183232259
350	0.6183209594
351	0.6182266627
352	0.6180785663
353	0.6179532741
354	0.617794646
355	0.6176591631
356	0.6175634139
357	0.6175512963
358	0.6174236797
359	0.6172731607
360	0.6171800191
361	0.6170686083
362	0.6168994476
363	0.6167230944
364	0.6166398088
365	0.6164832865
366	0.616375361
367	0.6162778358
368	0.616206817
369	0.6160468639
370	0.6158674096
371	0.6158673108
372	0.6157316401
373	0.6156135174
374	0.6156135087
375	0.6155132579
376	0.6154057066
377	0.6153126938
378	0.6152382533
379	0.615081446
380	0.6149909822
381	0.6148591267
382	0.6146745338
383	0.6145667654
384	0.6144634921
385	0.6142878444
386	0.6141802111
387	0.6140587638
388	0.6138787451
389	0.6137218491
390	0.6135914908
391	0.6134571315
392	0.6133752946
393	0.6132735147
394	0.6131125302
395	0.612968094
396	0.6128386858
397	0.6127664267
398	0.6125962956
399	0.61246073
400	0.6123218697
401	0.6122374171
402	0.6120556552
403	0.6118618427
404	0.6116731577
405	0.6115173667
406	0.6114026602
407	0.6112533708
408	0.6111179965
409	0.6109539917
410	0.6108477062
411	0.6106240209
412	0.6105274634
413	0.6104298592
414	0.610316844
415	0.6101831574
416	0.6100458634
417	0.6099231945
418	0.6097338743
419	0.609573917
420	0.6094346313
421	0.6092840029
422	0.6092047501
423	0.6091032619
424	0.6089944318
425	0.6089014482
426	0.6087419742
427	0.6087418441
428	0.6085913387
429	0.6085913322
430	0.6084719802
431	0.6084719767
432	0.608307641
433	0.608126926
434	0.60789438
435	0.6077777568
436	0.6076805795
437	0.6075161874
438	0.607383158
439	0.607264263
440	0.6071428188
441	0.607030643
442	0.6069338596
443	0.6068170479
444	0.6066116893
445	0.6064819418
446	0.6064819412
447	0.6063456789
448	0.606230579
449	0.606051716
450	0.6059399489
451	0.605845201
452	0.6056812481
453	0.6056083843
454	0.6055529592
455	0.6054580353
456	0.6053293642
457	0.6052159281
458	0.6050498877
459	0.6049269835
460	0.6047682378
461	0.6046256111
462	0.6044544505
463	0.6043137402
464	0.6041559377
465	0.6041548633
466	0.6040877562
467	0.603998319
468	0.6038456227
469	0.6037773491
470	0.6036259151
471	0.6035124186
472	0.6034647436
473	0.6033622025
474	0.6031776062
475	0.6031775949
476	0.6029893297
477	0.6028786589
478	0.6028015335
479	0.602718838
480	0.6025964755
481	0.6024804241
482	0.6023594198
483	0.6021998335
484	0.6020776294
485	0.6019629148
486	0.6018196062
487	0.6016541525
488	0.6015762299
489	0.6014407924
490	0.6013145863
491	0.6011669885
492	0.6010506069
493	0.6009953803
494	0.6008912541
495	0.6007503728
496	0.6006439862
497	0.6004761222
498	0.6002868478
499	0.6001632614
500	0.6000716148
501	0.6000716147
502	0.6000698425
503	0.5999368712
504	0.5998153318
505	0.5997088187
506	0.5996056868
507	0.5995567676
508	0.5993945523
509	0.5992585874
510	0.5991693582
511	0.5991046492
512	0.5989515454
513	0.5988613799
514	0.5987446916
515	0.5985813688
516	0.5984780015
517	0.598383309
518	0.5983826844
519	0.5983824101
520	0.5982734129
521	0.598130604
522	0.5980022143
523	0.5978721122
524	0.5978717764
525	0.5977746425
526	0.5976720823
527	0.5975613641
528	0.5974712097
529	0.5973955076
530	0.5972876884
531	0.5971816467
532	0.5970286878
533	0.5968841939
534	0.5967458358
535	0.5967448753
536	0.5966138486
537	0.5964329426
538	0.5963209124
539	0.5962072933
540	0.5960601829
541	0.5959305309
542	0.5957798219
543	0.5956849248
544	0.5955916304
545	0.5954645623
546	0.5953235701
547	0.5951957472
548	0.595112988
549	0.59500799
550	0.5949076906
551	0.5948027521
552	0.5946671824
553	0.5945835613
554	0.5944320584
555	0.5944320574
556	0.5943373668
557	0.59420047
558	0.5941061611
559	0.5939589327
560	0.5938980414
561	0.5937411884
562	0.5936443161
563	0.5935212778
564	0.5934307606
565	0.5933022812
566	0.5933022806
567	0.5931794465
568	0.5930093316
569	0.5928986869
570	0.5928185479
571	0.5927331243
572	0.5926134396
573	0.5924898593
574	0.5923865628
575	0.5922658016
576	0.5921643983
577	0.5920588655
578	0.5919383369
579	0.5918430832
580	0.5917307662
581	0.5915845068
582	0.5914528194
583	0.5913513334
584	0.5912223217
585	0.5911011642
586	0.5909638291
587	0.5908140121
588	0.5906980628
589	0.5905649711
590	0.5904442474
591	0.5903246401
592	0.5902231809
593	0.5901203202
594	0.5900144851
595	0.5898959477
596	0.5897578177
597	0.5896590623
598	0.5895028153
599	0.5893811526
600	0.5892840739
601	0.5890649176
602	0.5889525988
603	0.5888558369
604	0.5887499359
605	0.5885657327
606	0.5884404032
607	0.5883115267
608	0.5882228718
609	0.588074879
610	0.5879531476
611	0.5877853793
612	0.5876504532
613	0.5875118622
614	0.5873574833
615	0.587226507
616	0.5871528327
617	0.5870522229
618	0.5869641453
619	0.5868720173
620	0.5867703617
621	0.5866056985
622	0.5864893141
623	0.5863784119
624	0.5862991539
625	0.5861349899
626	0.5860210396
627	0.5859092255
628	0.5858028086
629	0.5857055896
630	0.5856078825
631	0.5854869959
632	0.5853358645
633	0.5852325684
634	0.5850930467
635	0.5849551338
636	0.5848337176
637	0.5846721217
638	0.5846136085
639	0.5844388575
640	0.5843106149
641	0.5841735282
642	0.5839816618
643	0.5838602854
644	0.5837030378
645	0.5836039851
646	0.5834968322
647	0.5833664772
648	0.583264953
649	0.5831687408
650	0.5830888141
651	0.5830248019
652	0.5828759137
653	0.582769448
654	0.5826648563
655	0.5825694659
656	0.5824183482
657	0.5823177616
658	0.5822085297
659	0.5820854777
660	0.5820126548
661	0.58190612
662	0.5818066949
663	0.581712322
664	0.5816048901
665	0.5814985666
666	0.5814214386
667	0.5813133714
668	0.5811658367
669	0.5810704535
670	0.5809888775
671	0.5808822404
672	0.5807638311
673	0.5806397748
674	0.5805359246
675	0.5803797637
676	0.580239528
677	0.5801210996
678	0.5800025793
679	0.5798547947
680	0.5797524017
681	0.5796516646
682	0.5794996154
683	0.5794132847
684	0.5792782438
685	0.579189861
686	0.5790539644
687	0.578960798
688	0.5788063046
689	0.5786768317
690	0.5786049754
691	0.5785273458
692	0.5784375579
693	0.5782446531
694	0.5781315728
695	0.5780317561
696	0.5779145859
697	0.5778036706
698	0.5777235071
699	0.5776038662
700	0.5775254086
701	0.5774391471
702	0.5773249982
703	0.5772055985
704	0.5771437879
705	0.577035865
706	0.5769430921
707	0.5768289956
708	0.5767322835
709	0.5766218726
710	0.5765220868
711	0.5764127809
712	0.5762915102
713	0.5761528677
714	0.5760511568
715	0.5758687545
716	0.5757473336
717	0.5756179737
718	0.5755224553
719	0.5754132904
720	0.5752939273
721	0.5752131824
722	0.5751241526
723	0.5749394278
724	0.5748153849
725	0.5747074683
726	0.5746404713
727	0.5745315631
728	0.5744437866
729	0.5743600326
730	0.5742538255
731	0.5741587498
732	0.5740583682
733	0.5739480451
734	0.573817561
735	0.5737503164
736	0.5736423771
737	0.573555267
738	0.5734679191
739	0.5733871724
740	0.5732153054
741	0.5731144767
742	0.5729660333
743	0.5728746425
744	0.5727751162
745	0.5726104176
746	0.5725282509
747	0.5723748965
748	0.572285185
749	0.5722010524
750	0.5721201339
751	0.5720390474
752	0.57195314
753	0.5718569831
754	0.5717664334
755	0.5716676299
756	0.5715359306
757	0.5714408809
758	0.5713726387
759	0.5712918802
760	0.5711399765
761	0.5710771613
762	0.5710209846
763	0.5709244126
764	0.5708292514
765	0.5707430397
766	0.5706578362
767	0.5705798642
768	0.5704821285
769	0.5703898782
770	0.5703311452
771	0.5702068108
772	0.5700666664
773	0.5699626812
774	0.5698779703
775	0.5697687462
776	0.5696470058
777	0.5695638695
778	0.56944774
779	0.5693492363
780	0.5692615396
781	0.5691852995
782	0.569089322
783	0.5690051189
784	0.5689189323
785	0.5688325566
786	0.5686825053
787	0.5685533725
788	0.568485884
789	0.5683801227
790	0.5682904066
791	0.5681698136
792	0.5680832199
793	0.5679876693
794	0.5679031301
795	0.5677959789
796	0.5677122237
797	0.5675930486
798	0.5674547956
799	0.5673006103
800	0.5671701219
801	0.5670487148
802	0.5669685141
803	0.5668914072
804	0.5667966218
805	0.5667151805
806	0.5666175503
807	0.566500693
808	0.5663899853
809	0.5662342455
810	0.5661159715
811	0.5660181234
812	0.5659212817
813	0.5658584333
814	0.5657723459
815	0.5656484948
816	0.5655554403
817	0.5654183531
818	0.5653440951
819	0.5652847818
820	0.5651433291
821	0.5650440139
822	0.5649652815
823	0.5648447822
824	0.5647453524
825	0.5646313768
826	0.5645620366
827	0.5645028755
828	0.5643723247
829	0.5642550117
830	0.56411037
831	0.5640553643
832	0.5639303308
833	0.5638742862
834	0.5637631928
835	0.5636804846
836	0.5635734692
837	0.5635018793
838	0.5634111894
839	0.5633324282
840	0.5632470036
841	0.5631524873
842	0.5630525076
843	0.5629834898
844	0.5628899028
845	0.5628203301
846	0.5627463441
847	0.5626535071
848	0.5625562147
849	0.5624975408
850	0.5624144484
851	0.5623411819
852	0.5622546047
853	0.5621831774
854	0.5621195997
855	0.562037336
856	0.5619321686
857	0.5618724074
858	0.5617959767
859	0.5617575679
860	0.5616785272
861	0.5615613559
862	0.5614965505
863	0.5614086464
864	0.5613205345
865	0.5612337414
866	0.5611389271
867	0.5610032015
868	0.5609050687
869	0.5608212974
870	0.560732676
871	0.560658628
872	0.5606159649
873	0.5605045449
874	0.5604238463
875	0.560347229
876	0.5602520329
877	0.5601796127
878	0.5600833429
879	0.5599964269
880	0.5599402549
881	0.5598719081
882	0.5597599053
883	0.5596640393
884	0.5595934951
885	0.5594769299
886	0.5594015316
887	0.5592976006
888	0.5592231321
889	0.5591464892
890	0.5590517192
891	0.5589925772
892	0.5588969895
893	0.5588291197
894	0.5587506076
895	0.5586746974
896	0.5585898802
897	0.5585285481
898	0.5584380134
899	0.5583498948
900	0.558261947
901	0.5581369956
902	0.5580617841
903	0.5579996713
904	0.5579179148
905	0.5578266246
906	0.5577433278
907	0.5576357543
908	0.5575525131
909	0.5574537671
910	0.5573855661
911	0.5572961416
912	0.5572286136
913	0.5571474286
914	0.5570778745
915	0.5570050669
916	0.5569434574
917	0.5568648522
918	0.556771338
919	0.5566783145
920	0.5565845176
921	0.5564965809
922	0.5563908698
923	0.5562817511
924	0.5561794411
925	0.5561030159
926	0.5560357819
927	0.5559712466
928	0.5559069059
929	0.5558460575
930	0.5557385254
931	0.5556570501
932	0.5555916288
933	0.5555218655
934	0.5554398361
935	0.5553576618
936	0.5552677075
937	0.5551694727
938	0.5551144164
939	0.5549876805
940	0.5549206057
941	0.5548405156
942	0.554787663
943	0.5546739775
944	0.5546088919
945	0.5545173181
946	0.5544434221
947	0.5543759769
948	0.5542778694
949	0.5542046776
950	0.5541135054
951	0.5540570987
952	0.5539779241
953	0.5539059538
954	0.5538360784
955	0.5537446732
956	0.5536741392
957	0.5536184877
958	0.5535765091
959	0.5534879792
960	0.5534347343
961	0.5533631866
962	0.5532993793
963	0.5532119706
964	0.5531297728
965	0.5530366247
966	0.5529586408
967	0.5528837946
968	0.5527958636
969	0.5527188951
970	0.5526453127
971	0.5525612017
972	0.5524729166
973	0.5524321258
974	0.5523727536
975	0.5523066834
976	0.5522018572
977	0.5521341733
978	0.5520549666
979	0.5519697877
980	0.5518952005
981	0.5518467184
982	0.5517785634
983	0.5517288128
984	0.5516626434
985	0.5516202576
986	0.5515738079
987	0.5514779348
988	0.5514176044
989	0.5512877366
990	0.5512081467
991	0.5511282681
992	0.5510529295
993	0.5509886973
994	0.550936343
995	0.5508404541
996	0.5507787031
997	0.5506899412
998	0.5506227798
999	0.5505641947
